Variable,Coeficiente,Std. Error,t-Statistic,P-Value
Intercept,9.746037867077812,0.03158974766057776,308.51901609965444,0.0
year_1999,0.06952447202383642,0.039737908728078815,1.7495755123799561,0.08020090625841174
year_2000,0.08669125733995978,0.04076879414596253,2.126412104061339,0.033476379245022614
year_2001,0.12347028993620249,0.03825407913072669,3.2276372282878425,0.0012493929939226378
year_2002,0.04479216179669586,0.03853225502784261,1.162458874112869,0.24505754812536032
year_2003,0.10510871082878243,0.03898383345443001,2.6962128019464484,0.007016850524899716
year_2004,0.11158862484528147,0.03842137417890643,2.904337162061848,0.003682762975171724
year_2005,0.1254112050327521,0.038966797754558885,3.218411885489865,0.0012902738504099837
year_2006,0.16501315879032274,0.03943822878762216,4.184091523960953,2.8705052712374695e-05
year_1998_manuf,-56838777972.16404,658032840648.9136,-0.08637681048883966,0.9311674059233472
year_1999_manuf,-56838777972.226425,658032840648.9618,-0.08637681048892815,0.9311674059232768
year_2000_manuf,-56838777972.32456,658032840648.966,-0.08637681048907674,0.9311674059231587
year_2001_manuf,-56838777972.36418,658032840648.9469,-0.08637681048913945,0.9311674059231089
year_2002_manuf,-56838777972.3567,658032840648.949,-0.08637681048912779,0.9311674059231181
year_2003_manuf,-56838777972.564156,658032840648.9579,-0.0863768104894419,0.9311674059228685
year_2004_manuf,-56838777972.53435,658032840648.9434,-0.0863768104893985,0.9311674059229029
year_2005_manuf,-56838777972.55986,658032840648.9608,-0.08637681048943499,0.931167405922874
year_2006_manuf,-56838777972.60612,658032840648.9559,-0.08637681048950592,0.9311674059228175
naics_3_113,69530878945.23639,4145049909511.523,0.016774437090778072,0.9866166649354201
naics_3_114,-69530878947.17511,4145049909511.6396,-0.01677443709124532,0.9866166649350474
naics_3_115,-568457336010.4312,3438450603103.114,-0.16532368837796096,0.8686902299396653
naics_3_211,568457336005.9209,3438450603103.244,0.165323688376643,0.8686902299407027
naics_3_212,326564845770.6338,1363891982254.0073,0.23943600374491775,0.8107690055316868
naics_3_213,-326564845773.1631,1363891982253.914,-0.23943600374678858,0.8107690055302363
naics_3_221,689785518824.0115,2191047953188.0967,0.3148199097241734,0.7529003894499862
naics_3_233,-689785518827.1311,2191047953188.016,-0.31481990972560875,0.7529003894488961
naics_3_234,-311091290535.2042,1980621803387.1616,-0.15706748759565872,0.8751926239339983
naics_3_235,311091290533.5824,1980621803387.2385,0.15706748759483377,0.8751926239346484
naics_3_236,475926853119.29236,3369620083992.752,0.1412405082045196,0.8876808101660063
naics_3_237,-475926853121.5714,3369620083992.6665,-0.14124050820519954,0.8876808101654692
naics_3_238,-30157019224.74663,96375270699.46045,-0.31291242043603895,0.7543491832919629
naics_3_311,30157019223.954567,96375270699.45847,0.3129124204278268,0.754349183298202
naics_3_312,150874300239.52652,1545202588362.1426,0.09764046564240336,0.9222183855362953
naics_3_313,-150874300239.44992,1545202588362.0557,-0.09764046564235927,0.9222183855363303
naics_3_314,-738573314520.7499,2229333023677.1177,-0.3312978844688393,0.7404215980280782
naics_3_315,738573314520.2476,2229333023677.204,0.3312978844686011,0.7404215980282579
naics_3_316,-556897991784.873,3536917289312.559,-0.1574529304000526,0.8748888669145478
naics_3_321,556897991785.7653,3536917289312.6426,0.15745293040030114,0.874888866914352
naics_3_322,-8997089827.127108,102281638362.27908,-0.0879638806259598,0.9299059189857708
naics_3_323,8997089827.166721,102281638362.2797,0.08796388062634658,0.9299059189854635
naics_3_324,367555688589.3311,2885226617888.7563,0.12739231168548115,0.8986306791859258
naics_3_325,-367555688589.875,2885226617888.6562,-0.12739231168567408,0.898630679185773
naics_3_326,1088848836120.3002,3177271029293.992,0.34269938764470104,0.7318268116166825
naics_3_327,-1088848836119.3647,3177271029293.897,-0.34269938764441693,0.7318268116168964
naics_3_331,92797900460.53548,1220487045345.8933,0.07603349893339999,0.9393929090912508
naics_3_332,-35959122488.14361,1353503011924.3992,-0.0265674491828557,0.9788048969249611
naics_3_333,-546641424577.08716,1110466280180.6304,-0.4922629658670676,0.6225367399483808
naics_3_334,603480202547.3229,1298514262228.981,0.46474668788882717,0.6421159437088495
naics_3_335,-522690900206.3807,2064917462565.6216,-0.2531291975016507,0.8001699577616513
naics_3_336,579529678176.4323,2120693524237.6929,0.27327365861823466,0.7846445767101049
naics_3_337,1219211847371.9802,1910725041725.7378,0.6380885898008678,0.5234204523534429
naics_3_339,-1162373069401.6262,2005962184621.1433,-0.5794591135929904,0.5622833925021935
naics_3_421,600234898608.559,797824851205.3939,0.7523391853508873,0.45185248813240975
naics_3_422,-543396120637.8201,1066704397451.878,-0.5094158437294097,0.6104641879406811
naics_3_423,1514173036783.792,3140277385646.336,0.48217811703667157,0.6296826265954955
naics_3_424,-1457334258814.4453,3188452278300.892,-0.45706635433510406,0.6476263689704058
naics_3_425,-453054726173.18506,1681894463853.7112,-0.2693716733778316,0.78764537050836
naics_3_441,509893504144.63074,1758580851719.212,0.28994601166398015,0.7718593668397723
naics_3_442,-1465132033062.9026,2889507383975.472,-0.5070525312335867,0.6121213569055663
naics_3_443,1521970811034.3682,2925493410411.225,0.520244142618127,0.6028969208523994
naics_3_444,-935802420856.3353,1016254385650.861,-0.920834816626154,0.35714342262509347
naics_3_445,992641198827.7426,1229729575072.8962,0.8072028346304516,0.4195554651515945
naics_3_446,16435316944.416817,338382346721.81885,0.048570255226488356,0.9612620695313749
naics_3_447,40403461025.40228,343670954677.16394,0.11756437509639504,0.9064135509591513
naics_3_448,-94174312724.97021,2109393034174.7566,-0.04464521841080858,0.9643903702935291
naics_3_451,151013090696.6457,2171302056362.624,0.06954955449617341,0.9445526117904617
naics_3_452,-53678459047.53797,361557773423.1132,-0.1484644031832797,0.8819771861231764
naics_3_453,110517237019.28102,337298929814.5114,0.32765368416691104,0.7431756101430499
naics_3_454,-230363971659.13712,1681215114797.3433,-0.137022305849841,0.8910140018721595
naics_3_481,287202749630.3186,1765362246773.5051,0.16268771474819385,0.8707653189422254
naics_3_483,4801394470072.744,1857053812430.3167,2.58549022001101,0.009728319932185594
naics_3_484,-4744555692101.665,1980410573341.0215,-2.395743466516357,0.016592243454807035
naics_3_485,317896058539.49097,4005129497389.366,0.07937222972358392,0.9367370388807565
naics_3_486,-261057280567.2032,4023411025872.325,-0.06488456657509974,0.948266302787581
naics_3_487,186637069422.99133,1976270893744.836,0.09443901137932195,0.9247610024667827
naics_3_488,-129798291450.8182,2041843868627.045,-0.06356915601881735,0.9493136779620666
naics_3_492,1076272338642.6935,1706822242828.9768,0.6305708419049093,0.5283255464679877
naics_3_493,-1019433560670.6418,1800015129692.7341,-0.5663472177840311,0.5711616290462367
naics_3_511,-1395876724129.6455,1704697703681.282,-0.8188412063413121,0.41288294541522774
naics_3_512,1452715502101.0708,1795541670672.661,0.8090681078745682,0.41848181907312965
naics_3_513,1605069241043.731,1896398306389.5613,0.846377702213585,0.3973482260509147
naics_3_514,-1548230463071.2964,1964723265681.222,-0.7880145209836885,0.43069388645883755
naics_3_515,3426010060755.233,3169463760960.4424,1.080943124497833,0.2797303331118615
naics_3_516,-3369171282784.061,3219348511299.6235,-1.0465382268985706,0.29532028960662143
naics_3_517,-5939247040.345373,345387219225.66455,-0.01719590856216618,0.986280430418168
naics_3_518,62778025011.82448,329846403446.9651,0.19032502508980167,0.849055618479654
naics_3_519,-5712183083903.407,2692742918809.4443,-2.1213250786038507,0.0339019071367563
naics_3_521,5712183083904.231,2692742918809.53,2.1213250786040896,0.033901907136736215
naics_3_522,-29862207672.95351,107200072983.17207,-0.27856518043267736,0.7805802870533665
naics_3_523,29862207673.352783,107200072983.17332,0.27856518043639866,0.7805802870505105
naics_3_524,-12192320955369.092,4238799108057.383,-2.876362064952109,0.004025462270976693
naics_3_525,12192320955369.41,4238799108057.2856,2.87636206495225,0.004025462270974892
naics_3_531,-45387251444.45425,63082694183.04333,-0.7194881580795637,0.4718453037830249
naics_3_532,45387251444.79227,63082694183.04494,0.7194881580849036,0.47184530377973544
naics_3_533,-62847301915.868675,41337016570.04174,-1.520363759425641,0.12842918213492827
naics_3_541,62847301914.023926,41337016570.04045,1.5203637593810613,0.12842918214612614
naics_3_551,1217279121661.1248,1009613529683.3804,1.205688202339037,0.22794640193463214
naics_3_561,-1217279121660.9875,1009613529683.4501,-1.2056882023388178,0.2279464019347168
naics_3_562,3625152675904.0195,1891202331781.9597,1.9168507858639687,0.05526553832713348
naics_3_611,-3625152675905.1836,1891202331782.0251,-1.9168507858645178,0.05526553832706369
naics_3_621,4292180523462.41,2914028070552.8857,1.4729372605693685,0.14077751506137748
naics_3_622,-4292180523463.8105,2914028070552.9487,-1.4729372605698172,0.14077751506125635
naics_3_623,253027151347.54602,352126686488.3102,0.7185685182538585,0.4724119167296993
naics_3_624,-253027151347.73578,352126686488.31177,-0.7185685182543942,0.4724119167293688
naics_3_711,1932999386834.4712,1563867848591.6814,1.2360375517504283,0.2164534254360748
naics_3_712,-1932999386833.8992,1563867848591.7493,-1.2360375517500088,0.21645342543623072
naics_3_713,-405362554244.6737,1518176911802.4697,-0.26700613814723556,0.7894661076610433
naics_3_721,405362554244.11505,1518176911802.407,0.2670061381468786,0.7894661076613181
naics_3_722,-1121520914678.3298,1695362185121.3247,-0.6615229032008112,0.5082816619243598
naics_3_811,1121520914677.903,1695362185121.259,0.6615229032005852,0.5082816619245046
naics_3_812,85259484349.14351,158963318464.6145,0.5363469080328894,0.5917224414051606
naics_3_813,-85259484349.28809,158963318464.61572,-0.5363469080337948,0.5917224414045352
state_2,-0.900494630006708,0.06562031539457466,-13.722802528333457,9.723644655504761e-43
state_4,51725573622.75522,91773877077.51805,0.5636197932344572,0.5730167527153214
state_5,-51725573622.16854,91773877077.51813,-0.5636197932280641,0.5730167527196732
state_6,12342299485.556057,186636706968.4554,0.06613007529993606,0.947274668221409
state_8,-12342299486.140636,186636706968.45227,-0.06613007530306934,0.9472746682189146
state_9,1573393874754.4915,2931102241185.5483,0.5367925596884324,0.5914145394610235
state_10,-1573393874755.6094,2931102241185.613,-0.536792559688802,0.5914145394607684
state_11,2196408126979.7732,1725280398848.729,1.273073135500424,0.20300108129420313
state_12,-2196408126981.058,1725280398848.803,-1.273073135501114,0.20300108129395827
state_13,31207635793.35316,71651897675.76556,0.43554513984503096,0.6631696371955832
state_15,-31207635796.05575,71651897675.76637,-0.4355451398827444,0.6631696371682154
state_16,-2576622684398.4336,3517363848049.754,-0.7325436877470252,0.4638420033443136
state_17,2576622684398.3257,3517363848049.69,0.7325436877470077,0.46384200334432435
state_18,7321010972261.675,2034298473238.62,3.598789001992694,0.0003201713494863136
state_19,-7321010972263.283,2034298473238.6946,-3.598789001993353,0.00032017134948550326
state_20,-3493566117470.0156,3854969403451.849,-0.9062500247970262,0.36481016385776044
state_21,3493566117466.628,3854969403451.755,0.9062500247961696,0.36481016385821363
state_22,-31166121350.378338,58416858453.30533,-0.5335124512950405,0.5936824963385716
